 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  1.600000000000000E-01  4.181286424875967E-01  3.013030100734472E-01 -1.026485756262151E-01
  1.608333333333333E-01  4.369507444205541E-01  3.201251120064045E-01 -1.026485756262151E-01
  1.616666666666667E-01  4.557728463535114E-01  3.326731799617032E-01 -1.026485756262151E-01
  1.625000000000000E-01  4.745949482864502E-01  3.514952818946606E-01 -9.637454164856572E-02
  1.633333333333333E-01  4.934170502194076E-01  3.640433498499592E-01 -9.637454164856572E-02
  1.641666666666667E-01  5.122391521523464E-01  3.828654517828980E-01 -9.637454164856572E-02
  1.650000000000000E-01  5.373352880629623E-01  4.016875537158553E-01 -9.637454164856572E-02
  1.658333333333333E-01  5.561573899959011E-01  4.142356216711541E-01 -9.010050767091637E-02
  1.666666666666667E-01  5.749794919288583E-01  4.330577236040929E-01 -9.010050767091637E-02
  1.675000000000000E-01  5.938015938617972E-01  4.456057915593916E-01 -9.010050767091637E-02
  1.683333333333333E-01  6.126236957947546E-01  4.581538595147088E-01 -9.010050767091637E-02
  1.691666666666667E-01  6.314457977277118E-01  4.769759614476476E-01 -8.382647369326703E-02
  1.700000000000000E-01  6.502678996606507E-01  4.895240294029463E-01 -8.382647369326703E-02
  1.708333333333333E-01  6.690900015936080E-01  5.083461313359037E-01 -8.382647369326703E-02
  1.716666666666667E-01  6.879121035265469E-01  5.208941992912023E-01 -8.382647369326703E-02
  1.725000000000000E-01  7.067342054595042E-01  5.397163012241412E-01 -8.382647369326703E-02
  1.733333333333333E-01  7.255563073924429E-01  5.522643691794399E-01 -7.755243971561766E-02
  1.741666666666667E-01  7.443784093254003E-01  5.648124371347572E-01 -7.755243971561766E-02
  1.750000000000000E-01  7.632005112583575E-01  5.836345390676959E-01 -7.755243971561766E-02
  1.758333333333333E-01  7.820226131912964E-01  5.961826070229946E-01 -7.755243971561766E-02
  1.766666666666667E-01  7.945706811465951E-01  6.087306749782934E-01 -7.127840573796368E-02
  1.775000000000000E-01  8.133927830795524E-01  6.212787429335921E-01 -7.127840573796368E-02
  1.783333333333333E-01  8.322148850124912E-01  6.401008448665494E-01 -7.127840573796368E-02
  1.791666666666667E-01  8.510369869454486E-01  6.526489128218481E-01 -7.127840573796368E-02
  1.800000000000000E-01  8.698590888784058E-01  6.651969807771468E-01 -7.127840573796368E-02
  1.808333333333333E-01  8.886811908113447E-01  6.777450487324456E-01 -6.500437176031433E-02
  1.816666666666667E-01  9.012292587666434E-01  6.902931166877443E-01 -6.500437176031433E-02
  1.825000000000000E-01  9.200513606996008E-01  7.028411846430429E-01 -6.500437176031433E-02
  1.833333333333333E-01  9.388734626325580E-01  7.216632865760002E-01 -6.500437176031433E-02
  1.841666666666667E-01  9.576955645654969E-01  7.342113545312990E-01 -6.500437176031433E-02
  1.850000000000000E-01  9.702436325207956E-01  7.467594224865978E-01 -5.873033778266497E-02
  1.858333333333333E-01  9.890657344537529E-01  7.593074904418964E-01 -5.873033778266497E-02
  1.866666666666667E-01  1.001613802409052E+00  7.718555583971951E-01 -5.873033778266497E-02
  1.875000000000000E-01  1.020435904341990E+00  7.844036263524938E-01 -5.873033778266497E-02
