 X0/lambda deviation_CS_X deviation_CS_Y deviation_CS_Z
  1.725000000000000E-01  1.727318070703922E+00  1.402872403956111E+00  3.031304836719983E+00
  1.733333333333333E-01  1.736830054842378E+00  1.413622660539670E+00  2.973985090662620E+00
  1.741666666666667E-01  1.752682622203159E+00  1.418156716698685E+00  2.916995460247194E+00
  1.750000000000000E-01  1.762328730344907E+00  1.422749492594247E+00  2.860343649471954E+00
  1.758333333333333E-01  1.772043431469645E+00  1.433675902028932E+00  2.804037352429938E+00
  1.766666666666667E-01  1.781827736394714E+00  1.438388750413469E+00  2.748084251877103E+00
  1.775000000000000E-01  1.797956682391309E+00  1.443162938533088E+00  2.692492017779246E+00
  1.783333333333333E-01  1.807883197157911E+00  1.447999326538076E+00  2.637268305838053E+00
  1.791666666666667E-01  1.817882302570996E+00  1.452898767823199E+00  2.582420755996456E+00
  1.800000000000000E-01  1.827954978660010E+00  1.464136142907827E+00  2.527956990923546E+00
  1.808333333333333E-01  1.838102197471520E+00  1.469164223428625E+00  2.473884614479394E+00
  1.816666666666667E-01  1.848324922956514E+00  1.474257875909413E+00  2.420211210160042E+00
  1.825000000000000E-01  1.858624110858448E+00  1.479417925755354E+00  2.366944339523033E+00
  1.833333333333333E-01  1.869000708602396E+00  1.484645191136049E+00  2.314091540593817E+00
  1.841666666666667E-01  1.879455655184790E+00  1.489940482891815E+00  2.261660326253478E+00
  1.850000000000000E-01  1.889989881064342E+00  1.495304604440756E+00  2.209658182608151E+00
  1.858333333333333E-01  1.900604308053696E+00  1.500738351686710E+00  2.158092567340577E+00
  1.866666666666667E-01  1.911299849212036E+00  1.506242512927759E+00  2.106970908044319E+00
  1.875000000000000E-01  1.922077408738755E+00  1.511817868765870E+00  2.056300600541080E+00
  1.883333333333333E-01  1.932937881867844E+00  1.517465192017195E+00  2.006089007181681E+00
  1.891666666666667E-01  1.943882154763636E+00  1.523185247623197E+00  1.956343455131272E+00
  1.900000000000000E-01  1.954911104417047E+00  1.528978792562807E+00  1.907071234639305E+00
  1.908333333333333E-01  1.959751564565607E+00  1.534846575765211E+00  1.858279597294945E+00
  1.916666666666667E-01  1.970952461502466E+00  1.540789338023696E+00  1.809975754268529E+00
  1.925000000000000E-01  1.982240610110170E+00  1.540533777932761E+00  1.762166874539736E+00
  1.933333333333333E-01  1.993616849671707E+00  1.546628687714229E+00  1.714860083113164E+00
  1.941666666666667E-01  1.998807975816936E+00  1.552800749267840E+00  1.668062459222080E+00
  1.950000000000000E-01  2.010362876335872E+00  1.559050669999347E+00  1.621781034521064E+00
  1.958333333333333E-01  2.022008327216576E+00  1.559105114783582E+00  1.576022791268303E+00
  1.966666666666667E-01  2.027471094483082E+00  1.565512841794307E+00  1.530794660498426E+00
  1.975000000000000E-01  2.039300036034213E+00  1.572000498558685E+00  1.486103520186618E+00
  1.983333333333333E-01  2.044947863707385E+00  1.572294723811492E+00  1.441956193404989E+00
  1.991666666666667E-01  2.056963415007866E+00  1.578944249350166E+00  1.398359446471964E+00
  2.000000000000000E-01  2.062799381197051E+00  1.585675696092293E+00  1.355319987095750E+00
  2.008333333333333E-01  2.075004579024377E+00  1.586215675932622E+00  1.312844462512724E+00
  2.016666666666667E-01  2.081031678817720E+00  1.593112893601429E+00  1.270939457621738E+00
  2.025000000000000E-01  2.087155442240008E+00  1.593819908747103E+00  1.229611493115366E+00
  2.033333333333333E-01  2.099650620270359E+00  1.600885407684570E+00  1.188867023609122E+00
  2.041666666666667E-01  2.105969851186532E+00  1.601761931502593E+00  1.148712435769597E+00
  2.050000000000000E-01  2.112387864347477E+00  1.608998147814267E+00  1.109154046442741E+00
  2.058333333333333E-01  2.118905344200367E+00  1.610046578866232E+00  1.070198100783227E+00
  2.066666666666667E-01  2.131796998155203E+00  1.617455873291367E+00  1.031850770386124E+00
  2.075000000000000E-01  2.138515420594418E+00  1.618678534220286E+00  9.941181514219658E-01
  2.083333333333333E-01  2.145335296660440E+00  1.619989157058394E+00  9.570062627763039E-01
  2.091666666666667E-01  2.152257266267992E+00  1.627662327487915E+00  9.205210441951074E-01
  2.100000000000000E-01  2.159281958005827E+00  1.629150519470605E+00  8.846683544369340E-01
  2.108333333333333E-01  2.166409989062393E+00  1.630728299050800E+00  8.494539694333298E-01
  2.116666666666667E-01  2.173641965152499E+00  1.632396188382863E+00  8.148835804584904E-01
  2.125000000000000E-01  2.180978480445536E+00  1.640428733625709E+00  7.809627923095412E-01
  2.133333333333333E-01  2.188420117494941E+00  1.642278368972640E+00  7.476971214986183E-01
  2.141666666666667E-01  2.195967447168887E+00  1.644219620458802E+00  7.150919944580217E-01
  2.150000000000000E-01  2.203621028582721E+00  1.646252969993100E+00  6.831527457597184E-01
  2.158333333333333E-01  2.205107375054578E+00  1.648378889279988E+00  6.518846163504738E-01
  2.166666666666667E-01  2.212975089951141E+00  1.650597839764186E+00  6.212927518038805E-01
  2.175000000000000E-01  2.220950662757918E+00  1.652910272577131E+00  5.913822005906060E-01
  2.183333333333333E-01  2.229034604927530E+00  1.655316628484194E+00  5.621579123680883E-01
  2.191666666666667E-01  2.230953381863640E+00  1.657817337833335E+00  5.336247362910402E-01
  2.200000000000000E-01  2.239255548771964E+00  1.660412820504928E+00  5.057874193440477E-01
  2.208333333333333E-01  2.241393512758704E+00  1.663103485862614E+00  4.786506046974949E-01
  2.216666666666667E-01  2.249915804595179E+00  1.665889732705710E+00  4.522188300882014E-01
  2.225000000000000E-01  2.252274806841377E+00  1.668771949222378E+00  4.264965262259847E-01
  2.233333333333333E-01  2.261019025613419E+00  1.671750512944506E+00  4.014880152274403E-01
  2.241666666666667E-01  2.263600818710190E+00  1.674825790703464E+00  3.771975090782647E-01
  2.250000000000000E-01  2.266294633405847E+00  1.677998138587267E+00  3.536291081253155E-01
  2.258333333333333E-01  2.275374904467840E+00  1.681267901898957E+00  3.307867995996688E-01
  2.266666666666667E-01  2.278293952175796E+00  1.678361381138542E+00  3.086744561719676E-01
  2.275000000000000E-01  2.281326186141228E+00  1.681826967874495E+00  2.872958345412070E-01
  2.283333333333333E-01  2.284471969352022E+00  1.685390940840003E+00  2.666545740581915E-01
  2.291666666666667E-01  2.294005686084199E+00  1.689053601806976E+00  2.467541953848760E-01
  2.300000000000000E-01  2.297379605949664E+00  1.686541207595376E+00  2.275980991907069E-01
  2.308333333333333E-01  2.300868087721617E+00  1.690402105949850E+00  2.091895648870994E-01
  2.316666666666667E-01  2.304471443385012E+00  1.688088497663386E+00  1.915317494012219E-01
  2.325000000000000E-01  2.308189972077012E+00  1.692148708367062E+00  1.746276859901203E-01
  2.333333333333333E-01  2.312023960051171E+00  1.696308950656216E+00  1.584802830962621E-01
  2.341666666666667E-01  2.309699646665443E+00  1.694295425994724E+00  1.430923232455420E-01
  2.350000000000000E-01  2.313765360260081E+00  1.698656426620126E+00  1.284664619887084E-01
  2.358333333333333E-01  2.317947314260650E+00  1.696844097673931E+00  1.146052268872248E-01
  2.366666666666667E-01  2.322245743058808E+00  1.701406708997816E+00  1.015110165444502E-01
  2.375000000000000E-01  2.326660868006750E+00  1.699796383288786E+00  8.918609968307109E-02
  2.383333333333333E-01  2.324918863412920E+00  1.698287333920298E+00  7.763261426961283E-02
  2.391666666666667E-01  2.329567992427672E+00  1.703153762988323E+00  6.685256668684614E-02
  2.400000000000000E-01  2.328060369176410E+00  1.701847759358756E+00  5.684783095485760E-02
  2.408333333333333E-01  2.332944230558837E+00  1.700643502514757E+00  4.762014800157165E-02
  2.416666666666667E-01  2.331671664407555E+00  1.705815160606923E+00  3.917112498333065E-02
  2.425000000000000E-01  2.336790881290578E+00  1.704814788504448E+00  3.150223465620505E-02
  2.433333333333333E-01  2.335753942673037E+00  1.703916531646677E+00  2.461481479866771E-02
  2.441666666666667E-01  2.341109032722851E+00  1.703120490119431E+00  1.851006768615174E-02
  2.450000000000000E-01  2.340308186475595E+00  1.708700786598612E+00  1.318905961796385E-02
  2.458333333333333E-01  2.339625527665662E+00  1.708109430429083E+00  8.652720497081597E-03
  2.466666666666667E-01  2.339061132804937E+00  1.707620521481598E+00  4.901843463167769E-03
  2.475000000000000E-01  2.344889099128888E+00  1.707234114234418E+00  1.937084579181934E-03
  2.483333333333333E-01  2.344561408678407E+00  1.706950251744582E+00 -2.410374280867105E-04
  2.491666666666667E-01  2.344352132159706E+00  1.706768965642867E+00 -1.632141373352083E-03
  2.500000000000000E-01  2.344261293029216E+00  1.706690276130042E+00 -2.235983763811861E-03
